week,dna
2011-11-06,61
2011-11-13,64
2011-11-20,45
2011-11-27,64
2011-12-04,66
2011-12-11,59
2011-12-18,35
2011-12-25,26
2012-01-01,41
2012-01-08,53
2012-01-15,52
2012-01-22,60
2012-01-29,61
2012-02-05,64
2012-02-12,62
2012-02-19,61
2012-02-26,66
2012-03-04,62
2012-03-11,55
2012-03-18,57
2012-03-25,58
2012-04-01,53
2012-04-08,54
2012-04-15,60
2012-04-22,61
2012-04-29,57
2012-05-06,52
2012-05-13,48
2012-05-20,48
2012-05-27,40
2012-06-03,42
2012-06-10,39
2012-06-17,35
2012-06-24,33
2012-07-01,31
2012-07-08,35
2012-07-15,33
2012-07-22,33
2012-07-29,32
2012-08-05,32
2012-08-12,33
2012-08-19,34
2012-08-26,38
2012-09-02,44
2012-09-09,53
2012-09-16,53
2012-09-23,55
2012-09-30,56
2012-10-07,54
2012-10-14,57
2012-10-21,59
2012-10-28,56
2012-11-04,61
2012-11-11,81
2012-11-18,65
2012-11-25,86
2012-12-02,86
2012-12-09,86
2012-12-16,63
2012-12-23,42
2012-12-30,50
2013-01-06,69
2013-01-13,74
2013-01-20,73
2013-01-27,79
2013-02-03,80
2013-02-10,78
2013-02-17,76
2013-02-24,81
2013-03-03,80
2013-03-10,73
2013-03-17,74
2013-03-24,64
2013-03-31,65
2013-04-07,72
2013-04-14,69
2013-04-21,72
2013-04-28,68
2013-05-05,64
2013-05-12,60
2013-05-19,54
2013-05-26,50
2013-06-02,57
2013-06-09,49
2013-06-16,46
2013-06-23,45
2013-06-30,42
2013-07-07,46
2013-07-14,42
2013-07-21,44
2013-07-28,42
2013-08-04,39
2013-08-11,39
2013-08-18,41
2013-08-25,45
2013-09-01,50
2013-09-08,58
2013-09-15,58
2013-09-22,63
2013-09-29,64
2013-10-06,63
2013-10-13,66
2013-10-20,70
2013-10-27,67
2013-11-03,70
2013-11-10,73
2013-11-17,78
2013-11-24,54
2013-12-01,78
2013-12-08,79
2013-12-15,64
2013-12-22,35
2013-12-29,37
2014-01-05,60
2014-01-12,70
2014-01-19,66
2014-01-26,73
2014-02-02,77
2014-02-09,77
2014-02-16,74
2014-02-23,84
2014-03-02,78
2014-03-09,72
2014-03-16,75
2014-03-23,71
2014-03-30,71
2014-04-06,69
2014-04-13,63
2014-04-20,69
2014-04-27,69
2014-05-04,65
2014-05-11,59
2014-05-18,55
2014-05-25,50
2014-06-01,49
2014-06-08,45
2014-06-15,41
2014-06-22,40
2014-06-29,37
2014-07-06,38
2014-07-13,39
2014-07-20,39
2014-07-27,39
2014-08-03,36
2014-08-10,38
2014-08-17,37
2014-08-24,43
2014-08-31,48
2014-09-07,62
2014-09-14,60
2014-09-21,63
2014-09-28,66
2014-10-05,66
2014-10-12,67
2014-10-19,68
2014-10-26,72
2014-11-02,72
2014-11-09,76
2014-11-16,77
2014-11-23,59
2014-11-30,85
2014-12-07,86
2014-12-14,74
2014-12-21,39
2014-12-28,40
2015-01-04,68
2015-01-11,75
2015-01-18,76
2015-01-25,82
2015-02-01,87
2015-02-08,84
2015-02-15,73
2015-02-22,82
2015-03-01,82
2015-03-08,83
2015-03-15,76
2015-03-22,78
2015-03-29,70
2015-04-05,69
2015-04-12,75
2015-04-19,76
2015-04-26,72
2015-05-03,66
2015-05-10,62
2015-05-17,57
2015-05-24,51
2015-05-31,51
2015-06-07,50
2015-06-14,45
2015-06-21,47
2015-06-28,41
2015-07-05,41
2015-07-12,41
2015-07-19,42
2015-07-26,41
2015-08-02,41
2015-08-09,43
2015-08-16,44
2015-08-23,47
2015-08-30,55
2015-09-06,58
2015-09-13,67
2015-09-20,70
2015-09-27,72
2015-10-04,73
2015-10-11,71
2015-10-18,77
2015-10-25,91
2015-11-01,85
2015-11-08,84
2015-11-15,88
2015-11-22,60
2015-11-29,88
2015-12-06,94
2015-12-13,81
2015-12-20,47
2015-12-27,45
2016-01-03,83
2016-01-10,87
2016-01-17,86
2016-01-24,97
2016-01-31,100
2016-02-07,95
2016-02-14,89
2016-02-21,99
2016-02-28,97
2016-03-06,91
2016-03-13,88
2016-03-20,78
2016-03-27,79
2016-04-03,86
2016-04-10,87
2016-04-17,83
2016-04-24,80
2016-05-01,82
2016-05-08,73
2016-05-15,66
2016-05-22,62
2016-05-29,62
2016-06-05,62
2016-06-12,55
2016-06-19,52
2016-06-26,53
2016-07-03,47
2016-07-10,49
2016-07-17,47
2016-07-24,46
2016-07-31,47
2016-08-07,45
2016-08-14,47
2016-08-21,53
2016-08-28,62
2016-09-04,66
2016-09-11,73
2016-09-18,77
2016-09-25,80
2016-10-02,75
2016-10-09,77
2016-10-16,81
2016-10-23,85
2016-10-30,90
2016-11-06,87
